0,43,28,43,29
1,12,11,70,58
2,12,22,61,29
3,34,23,61,34
4,41,11,61,34
5,12,1,70,56
6,42,23,56,29
7,12,11,70,58
8,41,23,70,56
9,43,26,45,29
10,12,23,43,30
11,41,27,43,29
12,12,1,70,56
13,43,29,43,30
14,43,23,47,29
15,43,29,44,29
16,42,16,43,29
17,41,27,43,29
18,39,24,43,29
19,12,11,70,58
20,43,29,44,29
21,43,29,44,29
22,43,26,45,29
23,43,26,45,29
24,43,23,47,29
25,43,19,44,29
26,39,17,52,31
27,41,22,61,29
28,42,22,52,29
29,14,15,61,29
30,41,23,61,34
31,12,22,61,29
32,43,26,45,29
33,43,24,61,29
34,43,23,52,29
35,41,24,43,29
36,43,29,43,32
37,43,29,61,34
38,39,22,45,29
39,41,18,45,29
40,41,22,61,29
41,12,12,70,58
42,38,17,44,29
43,43,29,70,56
44,12,11,70,58
46,39,22,45,24
47,41,23,45,37
48,29,12,47,26
1,12,11,70,58
49,42,19,47,26
50,43,23,45,25
51,44,17,45,24
52,12,24,45,27
53,37,23,45,33
44,12,11,70,58
54,39,24,45,31
55,41,24,45,27
4,41,11,61,34
56,41,11,54,43
57,12,1,70,56
58,29,12,54,43
59,45,24,56,26
60,45,24,56,26
61,42,23,45,24
62,43,23,45,24
63,39,24,45,31
64,44,17,45,24
65,42,24,45,25
66,42,23,45,24
67,29,12,70,56
68,45,24,45,26
69,42,24,45,32
70,44,17,45,24
71,43,18,45,26
72,38,11,45,35
73,34,23,45,27
74,12,1,70,56
75,12,1,70,56
76,39,20,45,25
77,44,24,45,29
78,12,11,70,58
79,41,20,45,24
80,44,24,45,31
81,40,24,45,24
82,44,18,45,24
83,43,23,45,24
84,14,15,45,24
85,43,24,45,30
86,41,23,45,24
87,32,21,45,25
88,32,21,45,31
12,12,1,70,56
89,45,24,47,24
91,29,12,48,37
92,43,28,45,37
75,12,1,70,56
41,12,12,70,58
47,41,23,45,37
93,42,17,44,28
94,43,22,48,28
58,29,12,54,43
95,29,11,52,28
96,41,22,48,37
97,40,19,47,28
98,39,24,43,28
99,39,28,61,34
100,40,21,54,43
5,12,1,70,56
101,43,28,61,34
31,12,22,61,29
102,12,1,70,56
2,12,22,61,29
103,43,23,52,28
104,42,22,48,37
40,41,22,61,29
105,12,21,61,34
106,12,18,61,29
107,12,19,61,28
6,42,23,56,29
26,39,17,52,31
38,39,22,45,29
108,12,16,70,56
74,12,1,70,56
7,12,11,70,58
109,43,28,45,32
110,43,28,44,29
111,40,24,43,30
112,42,24,43,28
113,43,28,45,31
114,12,23,43,28
115,39,22,45,37
116,41,23,43,28
117,43,28,45,37
118,43,28,45,37
119,43,28,44,29
120,41,23,43,28
122,41,22,61,26
123,41,23,70,56
105,12,21,61,34
3,34,23,61,34
124,40,21,45,26
38,39,22,45,29
125,41,23,45,37
126,41,21,45,37
127,12,24,41,27
128,40,22,48,37
78,12,11,70,58
7,12,11,70,58
41,12,12,70,58
129,41,24,42,25
130,41,24,42,25
131,41,24,43,25
132,41,24,42,25
133,41,23,47,24
134,12,23,41,24
135,12,24,41,27
136,37,17,52,33
137,40,16,61,32
39,41,18,45,29
138,41,23,61,26
26,39,17,52,31
48,29,12,47,26
29,14,15,61,29
139,41,22,52,25
140,41,24,61,29
107,12,19,61,28
4,41,11,61,34
141,41,23,47,24
142,41,18,47,26
143,41,24,42,24
40,41,22,61,29
8,41,23,70,56
144,39,24,43,30
12,12,1,70,56
19,12,11,70,58
145,39,24,41,24
146,14,15,41,24
30,41,23,61,34
147,40,21,70,56
148,41,23,61,27
149,29,12,45,27
27,41,22,61,29
150,41,24,42,25
151,41,24,61,24
139,41,22,52,25
138,41,23,61,26
6,42,23,56,29
152,42,18,52,23
108,12,16,70,56
107,12,19,61,28
4,41,11,61,34
153,44,21,61,26
28,42,22,52,29
103,43,23,52,28
105,12,21,61,34
136,37,17,52,33
44,12,11,70,58
154,42,23,52,23
155,52,23,70,56
156,44,17,52,23
157,44,23,52,31
158,52,23,56,26
159,41,23,52,29
160,47,23,52,24
161,44,23,52,31
95,29,11,52,28
162,52,23,61,24
163,44,23,52,23
164,42,23,52,26
106,12,18,61,29
165,52,23,61,24
166,42,23,52,24
167,45,23,52,37
26,39,17,52,31
168,47,23,52,24
169,45,23,52,23
170,52,23,61,24
171,52,23,56,26
172,42,23,52,24
173,39,23,52,31
174,42,23,56,32
74,12,1,70,56
175,43,23,52,31
176,39,22,42,24
177,29,12,47,26
178,39,22,43,31
26,39,17,52,31
179,29,12,48,37
74,12,1,70,56
76,39,20,45,25
180,39,11,45,24
41,12,12,70,58
181,29,11,48,27
182,29,12,47,35
183,39,18,47,26
184,32,17,44,25
185,29,12,54,43
1,12,11,70,58
186,39,17,44,22
187,39,22,41,29
188,39,22,47,32
189,39,19,47,26
190,39,17,44,22
191,39,17,44,25
192,39,20,41,22
87,32,21,45,25
