12,16,   2
12,16,   3
12,17,   2
12,17,   3
12,33,   2
12,33,   3
12,55,   1
12,55,   2
13,16,   2
13,16,   3
13,17,   2
13,17,   3
13,33,   2
13,33,   3
13,55,   1
13,55,   2
14,16,   4
14,16,   5
14,17,   4
14,17,   5
14,55,   1
14,55,   2
15,16,   4
15,16,   5
15,17,   4
15,17,   5
15,55,   1
15,55,   2
16,16,   4
16,16,   5
16,17,   4
16,17,   5
16,55,   1
16,55,   2
17,16,   4
17,16,   5
17,17,   4
17,17,   5
17,55,   1
17,55,   2
18,16,   4
18,16,   5
18,17,   4
18,17,   5
18,55,   1
18,55,   2
19,16,   4
19,16,   5
19,17,   4
19,17,   5
19,55,   1
19,55,   2
20,16,   4
20,16,   5
20,17,   4
20,17,   5
20,55,   1
20,55,   2
21,16,   4
21,16,   5
21,17,   4
21,17,   5
21,55,   1
21,55,   2
22,16,   4
22,16,   5
22,17,   4
22,17,   5
22,55,   1
22,55,   2
23,16,   4
23,16,   5
23,17,   4
23,17,   5
23,55,   1
23,55,   2
24,32,   5
24,32,   6
24,55,   1
24,55,   2
25,32,   5
25,32,   6
25,55,   1
25,55,   2
26,32,   5
26,32,   6
26,55,   1
26,55,   2
27,55,   1
27,55,   2
28,55,   1
28,55,   2
29,32,   6
29,32,   7
29,43,   2
29,43,   3
29,44,   2
29,44,   3
29,45,   2
29,45,   3
29,55,   1
29,55,   2
30,32,   6
30,32,   7
30,43,   2
30,43,   3
30,44,   2
30,44,   3
30,45,   2
30,45,   3
30,55,   1
30,55,   2
31,32,   6
31,32,   7
31,43,   2
31,43,   3
31,44,   2
31,44,   3
31,45,   2
31,45,   3
31,55,   1
31,55,   2
32,21,  10
32,21,   9
32,28,   7
32,28,   8
32,43,   2
32,43,   3
32,44,   2
32,44,   3
32,45,   2
32,45,   3
32,55,   1
32,55,   2
33,21,  10
33,21,   9
33,28,   7
33,28,   8
33,43,   2
33,43,   3
33,44,   2
33,44,   3
33,45,   2
33,45,   3
33,55,   1
33,55,   2
34,15,   6
34,15,   7
34,18,   7
34,18,   8
34,24,  16
34,24,  17
34,27,   8
34,27,   9
34,43,   2
34,43,   3
34,44,   2
34,44,   3
34,45,   2
34,45,   3
34,55,   1
34,55,   2
35,15,   6
35,15,   7
35,18,   7
35,18,   8
35,24,  16
35,24,  17
35,27,   8
35,27,   9
35,43,   2
35,43,   3
35,44,   2
35,44,   3
35,45,   2
35,45,   3
35,55,   1
35,55,   2
36,15,   6
36,15,   7
36,18,   7
36,18,   8
36,24,  16
36,24,  17
36,27,   8
36,27,   9
36,43,   2
36,43,   3
36,44,   2
36,44,   3
36,45,   2
36,45,   3
36,55,   1
36,55,   2
37,29,   7
37,29,   8
37,43,   2
37,43,   3
37,44,   2
37,44,   3
37,45,   2
37,45,   3
37,55,   1
37,55,   2
38,27,  14
